,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2,Notes
33918,11,,169934,18409,2.27050565,31.82992268,13.54127184,4.130919456,35.96084213,134.607225,132,139,6314.701764,4981,7065,-140.852463,-142.5,-140,479.8,0,3517040203,28.2,3100081100,28.2,3100081110,2,0,3100010670,3100010670,71052,479.8,157.6182541,70.79810928,POINT (296012.28115600673 686887.7483304292),,,,-14.0852463,0.108330293,,,Not glaciated,1,Chf,,Continuous,h,,3,0,0,0,"Coastal plain, skipped"
4611,13,,78035,8059,0.78281731,220.4797134,206.6101909,93.99852753,314.478241,141.8829443,139.75,146,7577.101147,6778,7949,-112.4374572,-117,-108,237.6,0,8230410203,99.8,8100093860,99.8,8100093300,2,0,8100010040,8100010040,25336,237.6,-128.9611202,69.24131397,POINT (2836198.929570961 -173962.2144799563),,,,-11.24374572,0.103274172,TRUE,,LGM,1,Chf,,Continuous,h,,3,3,0,1,done
3426,0,,39683,4837,0.426567308,417.8858413,101.8140795,-0.113227814,417.7726135,142.7192354,140,144.25,6401.643803,5221,7117,-118.5396703,-129.5,-117,118.5,0,8210010602,1.2,8100086980,1.2,8100008950,2,0,8100008950,8100008950,12198,118.5,-142.0249648,69.65231321,POINT (2316631.1826825896 -260092.84820549842),,,,-11.85396703,0.121890986,,,Not glaciated,9,Clf,,Continuous,l,f,3,6,0,2,done
3522,0,,39467,4130,0.477368927,758.1318359,217.0374681,7.758361816,765.8901978,148.7199035,146,153,6373.368554,3255,7456,-121.8441509,-140.75,-115,118.7,0,8210030402,5,8100089090,5,8100009030,2,0,8100009030,8100009030,12232,118.7,-140.9851403,69.49672773,POINT (2360384.771322715 -271566.79366754275),,,,-12.18441509,0.104644386,,,Not glaciated,17,Clr,,Continuous,l,r,3,12,0,3,done
3091,0,,48186,5626,0.462785594,1022.554665,421.7475922,126.5121078,1149.066772,140.4340266,139,143.5,6189.417318,2394,7507,-127.2713896,-153.5,-116.5,143.3,0,8139093063,17.5,8100086500,17.5,8100008730,1,0,8100008730,8100008730,12117,143.3,-144.9141887,69.73183451,POINT (2201501.7308771876 -264114.84682156006),,,,-12.72713896,0.116755904,,,Not glaciated,17,Clr,,Continuous,l,r,3,16,0,4,done
8860,45,,30431,3595,0.539363423,92.16311646,100.5445882,54.49505615,146.6581726,238.091959,233,244,6786.524772,5683,7477,-130.8989234,-132.5,-129,113.5,0,8324302702,180.4,8100197360,180.4,8100198530,3,0,8100018120,8100018120,30694,113.5,-97.26480772,64.25181666,POINT (4312583.036501346 240527.5432593634),,,,-13.08989234,0.118136111,TRUE,TRUE,LGM,17,Clr,,Continuous,l,r,5,1,1,0,done
33004,25,,70369,7425,0.590103716,204.9638081,62.92603118,23.83395195,228.79776,194.9944706,191,206.5,7094.043757,4653,7782,-131.7187966,-139.25,-129,220.1,0,3516050600,414.6,3100133910,414.6,3100134100,2,0,3100010550,3100010550,70724,220.1,152.959038,68.62615601,POINT (-13576.65158010833 694413.7332449914),,,,-13.17187966,0.105515213,,,Not glaciated,1,Chf,,Continuous,h,,4,3,1,1,done
30661,167,,47712,6374,0.623115528,597.1624146,490.8397008,345.7359009,942.8983154,242.8978997,226,284.75,6474.465574,4648,7074,-166.1645987,-188.25,-158,147.6,0,3514409302,1126.3,3100121400,1126.3,3100121800,3,0,3100010470,3100010470,69408,147.6,138.2511518,68.86222819,POINT (-253341.1382254567 1256909.3024470585),,,,-16.61645987,0.133593226,,,Not glaciated,17,Clr,,Continuous,l,r,5,9,1,2,done
35282,118,,65116,6297,0.629896434,687.1417542,760.0086527,469.1075134,1156.249268,236.6341564,209,288.75,6013.969702,2195,7579,-166.2149259,-191.25,-151.25,206.2,0,3518280800,522.3,3100139900,522.3,3100141520,4,0,3100010910,3100010910,72203,206.2,167.0200583,68.3514264,POINT (342439.0371108514 221235.42217047117),,,,-16.62149259,0.096704343,,TRUE,MIS6,17,Clr,,Continuous,l,r,5,10,1,3,done
3258,55,,45539,3867,0.59251909,947.888916,753.2141566,387.7236328,1335.612549,257.5372682,229,286,8075.588731,6117,8828,-54.37717062,-79,-38,171.4,0,8124793240,1716.7,8100203300,1716.7,8100203810,4,0,8100005510,8100005510,6193,171.4,-144.1565444,63.98504136,POINT (2299012.3113441803 -921679.1510574687),,,,-5.437717062,0.084916226,,,Not glaciated,18,Dlr,,Discontinuous,l,r,6,15,1,4,done
