,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2
4852,10.0,,52704,5525,0.479600317613068,128.51977396011353,51.003467071224144,-2.536604404449463,125.98316955566406,134.4084458290066,127.0,141.75,7501.967835711426,5769,8166,-112.13082875933343,-114.25,-111.0,157.3,0,8230500420,15.3,8100086880,15.3,8100010090,2,0,8100010090,8100010090,25808,157.3,-127.90220372921574,69.66561511849947,POINT (2857951.6045827772 -113113.16745913075),,,,-11.213082875933344,0.10483075288403157,True,True,LGM,1,Chf,,Continuous,h,,3,2,0,0
4892,50.0,,46605,4793,0.429722972665986,233.40576553344727,208.9696126414456,60.864559173583984,294.27032470703125,147.66464098217216,144.75,151.5,7315.006549031943,6462,7922,-113.79329815159139,-118.0,-105.75,141.8,0,8230410420,100.3,8100094070,100.3,8100094290,3,0,8100010040,8100010040,25338,141.8,-128.06172852030366,69.25262633446434,POINT (2869735.6061691036 -159366.3014010014),,,,-11.379329815159139,0.10284304259199657,True,True,LGM,1,Chf,,Continuous,h,,3,3,0,1
67285,,,16597,3345,,488.0,,,,147.07880255337886,142.0,151.0,6218.080866167733,1505,8452,60.57437266123708,52.0,65.0,102.5,0,4713044922,163.0,4100303930,163.0,4100303410,4,1,4100050870,4100050870,130199,102.5,89.7633211851681,43.976433565084335,POINT (-2658713.199136843 4715429.910485199),868.6482500550304,686.0,1174.0,6.057437266123708,0.20154244743025848,,,Not glaciated,19,Slr,,Sporadic,l,r,3,7,0,2
3522,0.0,,39467,4130,0.477368927038423,758.1318359375,217.03746809519396,7.75836181640625,765.8901977539062,148.71990346858635,146.0,153.0,6373.36855366492,3255,7456,-121.8441508507854,-140.75,-115.0,118.7,0,8210030402,5.0,8100089090,5.0,8100009030,2,0,8100009030,8100009030,12232,118.7,-140.98514029875187,69.49672773417676,POINT (2360384.771322715 -271566.79366754275),,,,-12.184415085078541,0.10464438644943877,,,Not glaciated,17,Clr,,Continuous,l,r,3,12,0,3
3205,2.0,,91659,12821,0.826199344551563,1147.8619689941406,399.23064071715885,76.14987182617188,1224.0118408203125,140.99169266770684,137.0,143.5,6821.222450716213,4337,7217,-127.2669763154163,-153.5,-120.0,274.0,0,8139097022,24.1,8100086290,24.1,8100008830,2,0,8100008830,8100008830,12152,274.0,-144.03201060636366,69.63113356939283,POINT (2237535.1327820136 -272206.6409666259),,,,-12.726697631541631,0.13987715336191756,,,Not glaciated,5,Cmf,,Continuous,m,f,3,18,0,4
8679,93.0,,35687,4497,0.470230579804374,165.90951538085938,245.25840872281245,143.6240234375,309.5335388183594,264.66916423816264,258.0,272.75,7293.703198727093,6043,7820,-121.88901959735851,-125.25,-118.75,138.7,0,8324240262,404.9,8100223550,404.9,8100222950,6,0,8100018120,8100018120,30977,138.7,-98.8482060369688,63.09145118883437,POINT (4368690.721146066 92240.32130350731),,,,-12.188901959735851,0.1260122733768599,True,True,LGM,17,Clr,,Continuous,l,r,6,2,1,0
28812,124.0,,36922,4530,0.3887711935319,244.2829360961914,125.03891575019264,84.21956634521484,328.50250244140625,258.89993314614253,254.0,280.25,8400.653910950665,5803,8789,-112.29940500066856,-124.25,-109.75,139.6,0,3423030860,1427.5,3100282380,1427.5,3100280680,3,0,3100009130,3100009130,49766,139.6,127.95119434826694,63.887882267957906,POINT (-919938.4212883441 1592165.5016248552),,,,-11.229940500066856,0.12269107848978929,,,Not glaciated,1,Chf,,Continuous,h,,6,3,1,1
70925,,,35287,4110,,536.0,,,,266.94850860988737,244.0,313.0,7981.007573759916,3794,8518,-67.64919714252497,-85.0,-59.0,192.2,0,3226947022,3547.2,3100671080,3547.2,3100669920,5,0,3100004740,3100004740,34475,192.2,97.35624499555007,50.63310369145914,POINT (-2193903.572387018 3749512.461315179),1492.0553538902732,1296.0,1832.0,-6.764919714252497,0.11647348882024541,,,Not glaciated,17,Clr,,Continuous,l,r,6,8,1,2
3895,22.0,,62657,6651,0.5838283104325,737.1328125,1304.2642465666563,975.9732666015625,1713.1060791015625,247.2392730118083,240.75,259.0,7064.328552329471,5101,7798,-56.84817897282688,-65.25,-44.0,257.1,0,8111029602,391.6,8100262960,391.6,8100265890,3,0,8100000060,8100000060,188,257.1,-136.8869409444081,61.4430581803309,POINT (2733970.259827318 -1150795.9691715604),,,,-5.684817897282688,0.10614935282570184,,True,MIS6,18,Dlr,,Discontinuous,l,r,5,11,1,3
3392,71.0,,64166,5104,0.860640930390634,840.8543701171875,937.5709796988997,638.7510986328125,1479.60546875,208.0887470905838,200.0,216.75,7417.407001599188,6645,7957,-73.9326084202859,-93.75,-62.0,236.9,0,8127064400,2210.1,8100193560,2210.1,8100193110,4,0,8100005510,8100005510,7567,236.9,-142.81712126935983,64.5030974236822,POINT (2359672.5522238137 -853959.7185397926),,,,-7.393260842028591,0.07954368357073839,,,Not glaciated,18,Dlr,,Discontinuous,l,r,4,13,1,4
