,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2,notes
2046,71,,38084,3780,0.392789802,49.25708675,36.6538489,11.57117176,60.82825851,144.6564192,142,147,6113.316502,4921,6541,-122.8729691,-124,-122,110.2,0,8136002042,104,8100081800,104,8100080650,4,0,8100008230,8100008230,11268,110.2,-154.1303339,70.31300472,POINT (1841067.2490133543 -200886.5569702154),,,,-12.28729691,0.09925428,,,Not glaciated,1,Chf,,Continuous,h,,3,0,0,0,done
31225,31,,72804,7910,0.777997085,251.1705601,29.79390267,0.384829342,251.5553894,117.1255991,115,131,6330.728296,4875,6877,-148.4696115,-157.25,-146,180.6,0,3520010904,0,3100022630,0,0,1,0,3100022630,3100022630,84396,180.6,143.1679898,73.31209375,POINT (285002.12424220913 1266084.851578038),,,,-14.84696115,0.108647876,,,Not glaciated,1,Chf,,Continuous,h,,2,3,0,1,done
3324,3,,39683,4837,0.426567308,417.8858413,101.8140795,-0.113227814,417.7726135,142.7192354,140,144.25,6401.643803,5221,7117,-118.5396703,-129.5,-117,118.5,0,8210010602,1.2,8100086980,1.2,8100008950,2,0,8100008950,8100008950,12198,118.5,-142.0249648,69.65231321,POINT (2316631.1826825896 -260092.84820549842),,,,-11.85396703,0.121890986,,,Not glaciated,9,Clf,,Continuous,l,f,3,6,0,2,done
3208,5,,50843,5085,0.50266504,732.2036743,581.9573881,288.727417,1020.931091,142.4379305,141,144,6069.541734,4444,7883,-134.2455366,-152.75,-124.5,153.2,0,8139098023,68.3,8100362730,68.3,8100362210,2,0,8100008870,8100008870,12167,153.2,-143.2935297,69.46731229,POINT (2268991.3275390253 -287584.5652940823),,,,-13.42455366,0.100013768,,,Not glaciated,17,Clr,,Continuous,l,r,3,11,0,3,done
3091,0,,48186,5626,0.462785594,1022.554665,421.7475922,126.5121078,1149.066772,140.4340266,139,143.5,6189.417318,2394,7507,-127.2713896,-153.5,-116.5,143.3,0,8139093063,17.5,8100086500,17.5,8100008730,1,0,8100008730,8100008730,12117,143.3,-144.9141887,69.73183451,POINT (2201501.7308771876 -264114.84682156006),,,,-12.72713896,0.116755904,,,Not glaciated,17,Clr,,Continuous,l,r,3,16,0,4,done
8317,80,,34476,3936,0.399249189,65.06369019,244.8555483,213.86203,278.9257202,264.2810568,253,267.5,6800.378152,4661,7324,-105.9540002,-107,-105,135.7,0,8324600240,725.4,8100230940,725.4,8100228040,4,0,8100018120,8100018120,31546,135.7,-102.2333381,62.65119526,POINT (4290125.045903463 -78987.98663109518),,,,-10.59540002,0.114166377,TRUE,TRUE,LGM,17,Clr,,Continuous,l,r,6,1,1,0,done
21018,153,,63581,6011,0.862760192,225.6626053,132.964733,55.39116669,281.053772,277.4643195,270.25,293,6221.623294,4061,7274,-133.0586532,-140.75,-129,151.4,0,3312304940,372.8,3100044450,372.8,3100044850,3,0,3100005440,3100005440,39831,151.4,89.48349522,73.89728664,POINT (450045.5324075045 2913594.45930311),,,,-13.30586532,0.094540822,,TRUE,MIS6,17,Clr,,Continuous,l,r,6,3,1,1,done
70925,,,35287,4110,,536,,,,266.9485086,244,313,7981.007574,3794,8518,-67.64919714,-85,-59,192.2,0,3226947022,3547.2,3100671080,3547.2,3100669920,5,0,3100004740,3100004740,34475,192.2,97.356245,50.63310369,POINT (-2193903.572387018 3749512.461315179),1492.055354,1296,1832,-6.764919714,0.116473489,,,Not glaciated,17,Clr,,Continuous,l,r,6,8,1,2,done
76154,,,21304,2665,,724,,,,276.4807289,261,310,7542.00394,4070,8962,-13.37328166,-29,-5,120.8,0,3228406020,4470.3,3100708060,4470.3,3100987350,5,0,3100004740,3100004740,37127,120.8,106.4240782,48.66874813,POINT (-2656782.4406366255 3124522.925296168),1162.672605,894,1618,-1.337328166,0.125093879,,,Not glaciated,20,Ilr,,Isolated,l,r,6,11,1,3,done
3833,70,,49957,4266,0.535467472,871.4506226,896.6511546,503.9589233,1375.409546,267.9376059,256,288,7563.389897,6844,8070,-58.04758551,-71,-47,194.7,0,8128010142,2313,8100222990,2313,8100221190,4,0,8100005510,8100005510,7847,194.7,-138.6034539,63.00506637,POINT (2602979.2018989143 -991374.2868056414),,,,-5.804758551,0.085393438,,,Not glaciated,18,Dlr,,Discontinuous,l,r,6,13,1,4,done
19346,108,,65554,6783,0.822870223,71.59630406,27.64933913,-0.971761823,70.62454224,418.1221691,413.25,424.25,6685.204998,4774,7435,-97.31199193,-99,-96,196.4,0,3210050290,71.5,3100104380,71.5,3100103530,1,0,3100004560,3100004560,21549,196.4,81.43871802,69.59254427,POINT (210130.19022373343 3426855.0636687586),,,,-9.731199193,0.103471947,,TRUE,MIS6,5,Cmf,,Continuous,m,f,9,1,2,0,done
27027,192,,57410,7436,0.701740769,220.3621368,294.1798424,174.2647552,394.6268921,330.7623348,320,341,6758.243269,4393,8712,-74.32609535,-80,-68,243.9,0,3427500422,2739.9,3100414670,2739.9,3100414870,4,0,3100009130,3100009130,55997,243.9,117.5111139,60.36057495,POINT (-1359947.0347187072 2146045.4780895477),,,,-7.432609535,0.129524473,,,Not glaciated,14,Dhr,,Discontinuous,h,r,7,3,2,1,done
3966,93,,67505,5816,0.728318601,433.3235779,563.602563,410.0415344,843.3651123,321.19086,316,328,7309.216147,6080,8085,-79.40338046,-88.25,-75,236.2,0,8126096420,2282.9,8100154350,2282.9,8100154090,5,0,8100005510,8100005510,7781,236.2,-137.7356992,65.94736996,POINT (2575397.173172992 -646932.2373541854),,,,-7.940338046,0.086156581,,,Not glaciated,1,Chf,,Continuous,h,,7,6,2,2,done
77280,,,30762,3557,,615,,,,358.305738,321,405,8280.439411,6390,9240,-26.99982212,-41,-14,166.3,0,3227783760,4255.9,3100668250,4255.9,3100668900,3,0,3100004740,3100004740,36405,166.3,108.235652,50.94585543,POINT (-2410586.733176781 2918555.7009271),960.7077954,659,1274,-2.699982212,0.115629673,,,Not glaciated,11,Slf,,Sporadic,l,f,8,9,2,3,done
85934,,,21278,1698,,859,,,,428.8864518,383,495,7782.665659,5471,8987,-73.36352137,-100,-54,100.7,0,3426500902,3067.2,3100531150,3067.2,3100529580,3,0,3100009130,3100009130,58496,100.7,121.3202434,56.5340194,POINT (-1819605.723132072 1911970.7947847683),785.6157458,405,1264,-7.336352137,0.079800733,,,Not glaciated,17,Clr,,Continuous,l,r,10,13,2,4,done
12102,,,53103,6804,,63,,,,470.7080744,461,484,7769.373961,4421,9056,-2.420595406,-7,-1,264,0,7123064003,1291.6,7100164470,1291.6,7100165170,3,0,7100022240,7100022240,26932,264,-102.0155983,54.62927298,POINT (5010198.74064686 -711879.3767740247),320.9608128,293,356,-0.242059541,0.128128354,TRUE,TRUE,LGM,19,Slr,,Sporadic,l,r,11,1,3,0,done
90457,,,25753,2377,,346,,,,501.5201055,487,528,8038.887299,7185,8585,-111.5669565,-120,-102,122.7,0,3424662420,3348.8,3100538260,3348.8,3100534630,7,0,3100009130,3100009130,60649,122.7,131.3356459,56.30077575,POINT (-1773703.7882748442 1243497.7641445384),868.078439,698,1044,-11.15669565,0.092299926,,,Not glaciated,17,Clr,,Continuous,l,r,11,5,3,1,done
22331,192,,53516,5400,0.712070707,446.1480103,756.8004104,508.3424072,954.4904175,520.770584,487,546.25,7493.34152,5845,8503,-126.9451284,-137,-113.5,183.7,0,3222829162,2014.5,3100794160,2014.5,3100199680,5,0,3100004740,3100004740,27578,183.7,95.57023921,66.42671893,POINT (-415709.6019648225 3097327.8060215404),,,,-12.69451284,0.100904402,,TRUE,MIS6,17,Clr,,Continuous,l,r,12,7,3,2,done
70859,,,23325,2072,,680,,,,546.5550426,497,604,6893.267311,5742,8142,-71.10118535,-89,-54,117.8,0,3227249893,2948.3,3100601430,2948.3,3100598900,4,0,3100004740,3100004740,32294,117.8,97.62578744,53.95688355,POINT (-1822521.9061149992 3573517.5120505113),1497.425006,1203,1883,-7.110118535,0.088831726,,,Not glaciated,17,Clr,,Continuous,l,r,12,10,3,3,done
845,,,29375,3583,,905,,,,498.0097855,490,515,6721.120362,2339,8380,-35.05992451,-55,-22,128.6,0,8129909304,3087.3,8100301230,3087.3,8100299610,2,0,8100005510,8100005510,9547,128.6,-131.501092,59.34655732,POINT (3105284.2306681527 -1303555.5953673427),1349.500163,949,1854,-3.505992451,0.121974468,TRUE,TRUE,LGM,19,Slr,,Sporadic,l,r,11,14,3,4,done
