,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2
33775,13.0,,66084,7033,0.76314303259254,25.23363161087036,15.967728801960227,6.216451168060303,31.450082778930664,138.48913519487851,136.0,141.0,6242.119953399705,4923,7291,-140.70380372448028,-142.25,-140.0,187.5,0,3517020402,57.1,3100751200,57.1,3100081670,2,0,3100010650,3100010650,71029,187.5,157.1317846231813,70.7076113613643,POINT (276693.389655804 695170.0056354785),,,,-14.070380372448028,0.10642515586223594,,,Not glaciated,1,Chf,,Continuous,h,,3,0,0,0
4758,37.0,,46605,4793,0.429722972665986,233.40576553344727,208.9696126414456,60.864559173583984,294.27032470703125,147.66464098217213,144.75,151.5,7317.653578013365,6462,7795,-113.79329815159136,-118.0,-105.75,141.8,0,8230410420,100.3,8100094070,100.3,8100094290,3,0,8100010040,8100010040,25338,141.8,-128.06172852030366,69.25262633446434,POINT (2869735.6061691036 -159366.3014010014),,,,-11.379329815159137,0.10284304259199657,True,True,LGM,1,Chf,,Continuous,h,,3,3,0,1
67285,,,16597,3345,,488.0,,,,147.07880255337886,142.0,151.0,6218.080866167733,1505,8452,60.57437266123708,52.0,65.0,102.5,0,4713044922,163.0,4100303930,163.0,4100303410,4,1,4100050870,4100050870,130199,102.5,89.7633211851681,43.976433565084335,POINT (-2658713.199136843 4715429.910485199),868.6482500550304,686.0,1174.0,6.057437266123708,0.20154244743025848,,,Not glaciated,19,Slr,,Sporadic,l,r,3,7,0,2
3431,5.0,,39467,4130,0.477368927038423,758.1318359375,217.03746809519396,7.75836181640625,765.8901977539062,148.71990346858635,146.0,153.0,6373.36855366492,3255,7456,-121.8441508507854,-140.75,-115.0,118.7,0,8210030402,5.0,8100089090,5.0,8100009030,2,0,8100009030,8100009030,12232,118.7,-140.98514029875187,69.49672773417676,POINT (2360384.771322715 -271566.79366754275),,,,-12.184415085078541,0.10464438644943877,,,Not glaciated,17,Clr,,Continuous,l,r,3,12,0,3
3207,4.0,,73873,9217,0.761023779688252,1345.9541320800781,575.6886688269766,139.93099975585938,1485.8851318359375,142.26589133057107,141.0,144.25,6643.72360623066,1844,7773,-134.10230590374286,-167.75,-120.75,222.2,0,8139098080,51.2,8100087910,51.2,8100087660,2,0,8100008870,8100008870,12165,222.2,-143.5308857176647,69.49414204887651,POINT (2259166.2279336243 -285626.3578779544),,,,-13.410230590374287,0.12476818323338702,,True,MIS6,17,Clr,,Continuous,l,r,3,19,0,4
21944,21.0,,86644,8837,1.2158799281036,152.92090606689453,40.67056996935647,-2.358177185058594,150.56272888183594,290.66001899335237,286.75,302.5,6898.667636243893,4633,7786,-129.4369703776755,-135.25,-127.0,216.9,0,3314901002,526.4,3100048940,526.4,3100048460,2,0,3100006250,3100006250,41660,216.9,95.27275366027584,73.0469945621493,POINT (278312.8038822836 2792879.78296065),,,,-12.94369703776755,0.10199205946170536,,True,MIS6,1,Chf,,Continuous,h,,6,2,1,0
27455,13.0,,61014,6060,0.66406730831726,208.54434967041016,162.12961495238235,63.018516540527344,271.5628662109375,236.0285144094168,228.25,245.0,7779.802958553199,6952,8451,-139.69147160961535,-145.25,-135.5,173.4,0,3318318106,536.8,3100084030,536.8,3100085120,3,0,3100008610,3100008610,46325,173.4,120.09063179967525,70.67417761095652,POINT (-165378.26243166672 1996574.7513297687),,,,-13.969147160961535,0.09932146720424821,,,Not glaciated,13,Chr,,Continuous,h,r,5,3,1,1
73916,,,41011,5639,,499.0,,,,299.42224692867865,262.0,393.0,7123.429017733058,5483,8645,-19.048651953971866,-35.0,-12.0,231.5,0,3228630402,4758.4,3100706420,4758.4,3100708720,5,0,3100004740,3100004740,38151,231.5,102.96912964622744,48.89036400043555,POINT (-2553820.7418310205 3394926.0472465632),1587.6518316749125,1421.0,1920.0,-1.9048651953971867,0.13749969520372582,,,Not glaciated,20,Ilr,,Isolated,l,r,7,7,1,2
34799,76.0,,78046,6283,0.7852834902005,690.296875,577.0717801589669,301.730712890625,992.027587890625,266.3123399442295,232.25,315.75,6552.671181424992,4794,7628,-139.43540860459814,-160.5,-125.0,267.5,0,3518229125,453.8,3100190650,453.8,3100183230,4,0,3100010910,3100010910,71955,267.5,164.47594003418683,66.4723062527276,POINT (110543.57085120841 144795.33786424878),,,,-13.943540860459814,0.0805038054480691,,,Not glaciated,13,Chr,,Continuous,h,r,6,10,1,3
3757,105.0,,56162,5265,0.681596922100405,1003.3932222127914,279.76733078973206,1.553982377052307,1004.9472045898438,179.7344124736023,175.25,185.0,6328.004679190156,3261,7026,-119.50588362117875,-146.0,-109.0,170.8,0,8210050040,0.0,8100009180,0.0,0,1,0,8100009180,8100009180,12294,170.8,-139.20130965759316,69.24381067794528,POINT (2436349.397872471 -287707.74769020174),,,,-11.950588362117877,0.09374666144368078,,,Not glaciated,1,Chf,,Continuous,h,,4,15,1,4
